school_id,teach_id,pct_frpl,yrsprek,yrsk,yrs1st,basic_math,childcent_math,childcent_lit,basic_lit
2,0002T01,46.2,1,8,0,0.003536576,0.080915744,-0.109165659,0.111368929
2,0002T03,46.2,0,1,0,0.024385783,-0.266439771,-0.079593061,-0.059707353
13,0013T01,0,15,17,4,0.448238075,0.387013368,0.133292739,0.111368929
52,0052T01,11.23,0,1,0,0.0805767,-0.079314708,0.02286962,0.111368929
55,0055T03,4.73,0,10.5,1,-0.016237838,-0.031686518,-0.14060418,-0.455124191
55,0055T04,4.73,0,7,0,-0.205095291,-0.214145933,-0.01796905,-0.455124191
55,0055T05,4.73,0,26,4,-0.21506171,-0.11256928,0.016006617,-0.018853192
99,0099T01,9.11,0,25,0,0.189964662,-0.092049015,-0.291524191,0.111368929
99,0099T04,9.11,0,12,1,0.407614454,0.008669825,0.386503792,0.111368929
157,0157T01,0,0,1,0,-0.056861458,-0.017466651,-0.060568074,0.111368929
227,0227T01,23.76,0,14,0,0.065009403,-0.08134736,0.237894343,-0.565668286
227,0227T04,23.76,9,11.5,0,-0.221164329,-0.125050602,-0.04540107,0.111368929
355,0355T01,52.53,5,6,6,-0.626190701,0.093618208,0.42406292,0.111368929
355,0355T02,52.53,2,2,1,-0.626190701,0.187946701,0.39318655,0.111368929
355,0355T03,52.53,1,9,11,-0.126190305,0.044396038,0.231276244,-0.299045317
527,0527T01,58.26,0,16,2,-0.222917729,-0.226270466,-0.296075575,-0.018853192
527,0527T02,58.26,1,6.5,0.5,-0.358428261,-0.137326289,-0.095291204,0.111368929
576,0576T01,0,15,13,2,-0.48071375,-0.433926896,-0.413905861,0.111368929
576,0576T02,0,10,12,0,-0.161714788,-0.088065818,-0.072758216,0.111368929
576,0576T03,0,12,1,0,0.23390967,0.350067089,-0.157667898,0.111368929
638,0638T01,93,1,1,0,0.202775076,-0.000749607,-0.087824752,0.111368929
686,0686T01,81.2,5,5,0,0.022043529,0.196854193,-0.118315838,0.046257868
686,0686T02,81.2,1,1,0,-0.205095291,-0.300623396,-0.081044166,0.111368929
686,0686T03,81.2,2,2.5,0,-0.192762269,-0.331601803,0.106696625,0.020401115
737,0737T01,7.94,1,5.5,0,-0.126604932,-0.254407108,-0.298220847,0.111368929
737,0737T02,7.94,0,4,12,-0.358428261,-0.589885292,-0.528331569,-0.14764706
743,0743T02,31.58,0,5.5,15,0.256623739,0.322228807,0.270166984,0.111368929
743,0743T03,31.58,0,3,3,0.35151065,0.247073217,0.329911043,0.111368929
743,0743T04,31.58,0,5,15,0.274446177,0.17489778,0.270166984,0.111368929
743,0743T05,31.58,2,1,0.5,0.218342373,0.200925967,0.270166984,0.111368929
743,0743T06,31.58,0,6,6,0.218342373,0.279097798,0.363550619,0.046257868
743,0743T07,31.58,0,1,0,-0.016237838,0.024514439,0.177551332,0.111368929
743,0743T08,31.58,0.5,10,6,-0.325038526,0.125807426,0.173858743,-0.044709945
743,0743T09,31.58,7,7,0,-0.126604932,-0.187583657,-0.022805354,-0.105140388
743,0743T10,31.58,0,17,6,0.216000119,0.260549015,0.363271719,0.111368929
837,0837T01,89.02,0,1,0,-0.222942078,-0.105342909,-0.1670537,-1.411863634
837,0837T02,89.02,15,4,0,-0.248475794,0.053110345,-0.120052259,0.111368929
837,0837T03,89.02,0,13,12,0.185160144,-0.346314689,-0.073355584,0.111368929
841,0841T01,68.69,0,4,5,0.098191633,0.355695791,0.144462495,0.046257868
841,0841T02,68.69,0.5,7,5,0.448238075,0.405914421,0.035844207,0.111368929
841,0841T04,68.69,1.5,2.5,0,0.216000119,0.204122525,-0.14689995,0.111368929
841,0841T05,68.69,0,16,3,-0.299480461,0.408247734,0.113524727,0.111368929
869,0869T01,20.16,1,15.5,9,-0.107866125,0.089212527,0.07810399,-0.044709945
869,0869T02,20.16,0,4,0,0.173121357,-0.415088586,-0.287449834,0.046257868
894,0894T01,4.3,0,4,0,0.252146736,0.264656482,-0.092244584,0.111368929
894,0894T02,4.3,0,3,0,-0.48071375,-0.375046563,-0.313711642,0.111368929
909,0909T02,54.03,0,11,0,-0.09280057,0.114681454,0.209489241,0.111368929
909,0909T03,54.03,2,21,0,0.162238569,-0.009215179,-0.039813408,0.111368929
909,0909T04,54.03,0,18,0,-0.386241467,-0.150397926,-0.53543409,0.111368929
909,0909T05,54.03,2,15,2,0.256623739,0.264620395,0.236797752,0.111368929
909,0909T06,54.03,3,9,0,-0.126604932,-0.194965848,0.171351097,0.111368929
909,0909T08,54.03,0,9,1,0.243900438,0.175229399,0.296152879,0.111368929
1039,1039T01,70.35,0,7,0,-0.016237838,-0.09182856,-0.080087804,0.008431813
1039,1039T02,70.35,0,8,0,-0.128947187,-0.129165646,-0.018544824,0.111368929
1039,1039T03,70.35,2,16,1,0.139437387,0.404951367,0.143977909,0.111368929
1039,1039T05,70.35,0,2,5,-0.015736096,0.400157547,0.359626164,0.111368929
1107,1107T01,3.7,0,3,1,0.172229337,0.134952784,0.42406292,0.111368929
1107,1107T02,3.7,4,15,0,0.067766286,-0.197687519,0.052580682,-0.109821005
1107,1107T03,3.7,0,7,0,-0.05961834,-0.06718617,-0.140546567,-0.135677758
1107,1107T04,3.7,3,5,0,0.121614949,0.271044659,0.176725752,0.111368929
1107,1107T05,3.7,0,1.5,1,0.241558183,0.230541533,0.17528735,0.111368929
1107,1107T07,3.7,0,8,0.5,-0.039843927,0.197576619,0.360845011,0.111368929
1182,1182T01,28.11,0,2,0.5,-0.210194428,-0.234453333,-0.251275839,0.111368929
1182,1182T03,28.11,0,1,10,-0.374178331,0.035934586,0.114590307,0.111368929
1182,1182T05,28.11,0,2,0,-0.358428261,-0.579960787,-0.386309032,0.000824834
1191,1191T01,0,0,15,2,-0.051762321,0.187876537,0.389558788,0.111368929
1275,1275T02,29.31,4,7.5,0,0.216000119,0.133897613,0.180132211,0.111368929
1275,1275T03,29.31,0,3,0,-0.123433422,-0.162853701,-0.047827779,-0.018853192
1275,1275T05,29.31,8.5,3.5,5,-0.016237838,0.169938538,0.23349277,0.111368929
2016,2016T01,0,15,5,2,0.114173557,0.071422258,0.361555655,-0.455124191
2078,2078T01,30.93,0,10,10,-0.131081936,-0.0924177,0.084609324,0.008431813
2078,2078T03,30.93,0,8,1.5,-0.166813925,-0.340652581,0.11323641,-0.14764706
3023,3023T01,74.17,0,5.5,0,0.338285608,-0.166372405,0.010489168,-0.056679247
3023,3023T02,74.17,1,17,1,0.177718753,0.112218484,0.259558276,0.111368929
3023,3023T03,74.17,0,15,0,0.216000119,0.154093339,0.173626877,0.111368929
